N,P,K,temperature,humidity,ph,rainfall,label
21.53,79.97,16.87,25.2,68.55,6.16,108.97,blackgram
21.99,84.75,15.33,33.79,63.22,7.31,126.65,blackgram
26.93,59.91,32.47,34.66,74.01,7.17,128.12,blackgram
20.48,75.75,19.73,28.42,75.18,6.25,114.6,blackgram
15.53,75.23,19.23,28.39,62.12,6.77,75.01,blackgram
29.7,84.4,29.72,25.07,70.12,6.73,131.77,blackgram
27.51,84.57,21.4,31.8,76.29,6.94,124.81,blackgram
26.62,75.6,25.12,33.25,78.72,7.42,67.75,blackgram
29.83,62.31,18.25,26.47,70.27,6.87,101.74,blackgram
28.5,78.96,34.19,26.6,79.01,6.81,75.66,blackgram
19.12,58.21,32.03,32.9,70.71,6.08,90.37,blackgram
22.05,78.42,32.28,31.16,67.88,6.09,61.63,blackgram
17.52,82.31,23.14,25.45,76.96,6.28,96.03,blackgram
17.6,66.49,30.25,31.23,69.86,6.05,109.49,blackgram
28.52,73.92,17.88,28.09,69.44,7.12,115.76,blackgram
32.17,67.9,15.17,28.69,69.81,7.08,119.71,blackgram
34.25,68.13,15.4,32.7,76.94,6.2,135.27,blackgram
27.57,64.31,26.73,33.11,76.64,7.25,79.39,blackgram
18.68,77.86,24.11,29.0,68.07,6.23,70.84,blackgram
17.11,83.09,25.36,34.47,66.67,6.45,136.64,blackgram
31.26,83.22,15.15,29.06,69.84,6.37,74.1,blackgram
26.58,60.24,23.45,32.72,71.46,6.56,147.73,blackgram
27.37,81.24,29.36,29.84,64.77,6.38,135.83,blackgram
30.63,77.12,23.85,33.98,75.88,6.73,105.08,blackgram
29.07,62.59,29.64,34.08,69.73,6.61,148.33,blackgram
31.69,57.02,19.66,25.87,66.68,7.48,68.76,blackgram
16.12,63.04,31.26,34.36,62.14,6.08,87.28,blackgram
29.95,82.37,26.77,33.26,64.78,6.21,117.44,blackgram
32.02,74.0,19.22,32.91,78.99,6.08,91.5,blackgram
20.72,76.63,19.73,27.01,66.1,6.94,143.55,blackgram
27.81,62.71,27.56,33.05,63.38,6.08,65.91,blackgram
21.28,76.58,31.6,33.5,69.21,7.25,109.45,blackgram
34.16,55.84,23.31,27.89,66.14,6.77,113.18,blackgram
15.67,66.26,20.17,34.52,60.7,6.79,118.75,blackgram
26.6,73.8,32.34,25.5,66.46,6.84,83.01,blackgram
18.33,59.38,28.39,26.5,70.88,6.26,92.81,blackgram
29.24,79.69,23.96,30.38,71.03,6.3,135.93,blackgram
18.52,62.05,24.76,30.76,67.13,6.48,77.54,blackgram
19.71,74.57,19.09,31.45,68.95,6.89,134.42,blackgram
24.89,67.16,27.54,25.17,79.31,6.32,110.64,blackgram
33.3,72.88,22.17,34.6,67.55,6.17,128.6,blackgram
19.23,58.22,34.91,25.45,65.16,7.46,124.22,blackgram
17.88,55.51,24.6,26.43,64.87,6.03,78.68,blackgram
30.18,82.29,24.72,25.14,69.16,7.2,111.19,blackgram
25.01,63.09,26.32,30.67,75.19,7.18,138.1,blackgram
33.24,79.59,33.34,34.32,64.12,6.45,98.89,blackgram
17.93,84.98,31.02,31.66,74.19,6.2,146.99,blackgram
27.92,61.34,24.02,33.23,60.42,6.22,100.7,blackgram
19.66,62.96,29.37,25.13,68.38,7.05,72.85,blackgram
18.14,74.89,26.72,30.42,75.52,6.96,95.05,blackgram
28.67,83.96,24.85,29.6,66.77,7.17,145.65,blackgram
26.87,82.47,18.85,29.99,71.27,7.41,88.77,blackgram
30.1,70.09,24.28,25.72,64.1,7.04,138.13,blackgram
21.19,78.85,19.92,31.84,74.84,6.23,139.31,blackgram
23.96,59.07,33.3,30.03,61.05,6.37,91.52,blackgram
23.11,84.32,21.71,32.65,77.05,7.26,67.49,blackgram
34.68,83.93,34.05,29.85,63.96,6.31,125.21,blackgram
20.84,59.91,25.66,26.49,77.49,6.11,88.04,blackgram
34.57,75.53,20.03,20.33,51.42,6.11,46.08,lentil
26.07,81.47,17.0,20.96,54.91,6.22,43.97,lentil
27.13,61.11,26.86,18.66,47.58,6.44,32.64,lentil
34.45,81.2,15.25,23.07,46.06,6.93,75.04,lentil
24.56,56.79,17.12,20.23,49.19,6.87,48.38,lentil
26.08,81.66,35.19,16.17,56.36,7.6,33.66,lentil
24.4,64.87,34.29,16.29,58.6,7.48,46.17,lentil
24.18,64.44,37.88,20.37,50.9,6.85,86.13,lentil
28.15,70.36,36.36,24.37,53.23,6.67,89.6,lentil
35.22,83.22,32.08,18.08,58.07,6.63,63.81,lentil
24.04,56.43,16.31,23.7,41.97,7.55,59.12,lentil
28.11,65.57,34.57,22.64,44.64,6.1,98.45,lentil
31.77,80.7,36.14,17.48,54.18,6.03,44.04,lentil
21.74,66.88,34.98,15.36,56.47,7.59,45.08,lentil
21.94,60.97,27.71,16.02,57.14,6.95,50.43,lentil
38.34,67.74,20.82,22.28,48.3,6.26,42.09,lentil
33.09,66.57,36.13,17.0,41.79,6.47,56.56,lentil
29.43,82.46,33.18,18.71,48.76,7.87,93.76,lentil
31.19,77.86,39.52,20.02,44.61,7.72,73.07,lentil
15.73,70.15,18.89,22.25,45.82,7.42,58.84,lentil
30.45,84.65,20.64,16.13,55.45,6.96,95.41,lentil
27.74,68.96,20.29,19.06,41.51,7.04,33.39,lentil
28.64,56.75,34.81,19.85,56.55,7.95,44.72,lentil
23.99,62.87,19.67,20.41,48.55,7.93,69.61,lentil
17.04,68.08,16.67,23.18,51.92,6.43,73.09,lentil
19.83,59.71,39.96,16.72,41.79,7.62,32.77,lentil
38.77,83.43,15.62,23.08,46.75,6.39,58.21,lentil
25.22,78.01,35.88,21.93,41.79,6.43,75.44,lentil
26.67,63.05,24.13,20.56,59.23,7.35,78.86,lentil
16.32,72.72,36.04,22.0,56.15,6.81,74.67,lentil
15.94,76.64,28.87,19.12,49.19,7.86,52.44,lentil
32.93,83.24,37.54,16.38,44.47,6.18,36.55,lentil
28.45,81.45,38.15,21.66,58.67,7.02,59.9,lentil
27.72,70.46,15.23,20.25,46.89,7.84,39.01,lentil
21.08,78.24,16.89,21.39,43.22,7.81,96.33,lentil
33.62,71.86,21.26,18.38,51.26,6.31,63.26,lentil
19.21,71.58,31.73,24.07,58.88,6.73,52.21,lentil
19.75,58.44,37.21,20.87,40.08,7.24,83.64,lentil
26.52,58.78,26.5,15.85,44.76,6.32,64.86,lentil
22.16,70.89,30.17,19.5,58.77,7.94,51.7,lentil
21.19,63.07,19.71,22.56,43.42,7.83,86.84,lentil
31.13,55.63,35.12,22.94,42.26,6.33,90.7,lentil
31.27,76.69,39.18,19.95,51.4,6.24,77.11,lentil
35.61,55.97,21.71,23.95,57.24,6.17,33.29,lentil
25.44,72.86,27.37,17.68,49.54,7.82,69.64,lentil
16.83,71.18,17.15,19.11,59.89,6.39,83.43,lentil
21.84,84.06,28.98,23.99,53.58,6.83,39.56,lentil
39.5,69.53,27.57,23.96,41.48,6.9,46.01,lentil
29.91,56.91,18.61,21.86,59.86,7.2,91.77,lentil
32.74,71.55,26.05,23.59,48.16,6.14,31.41,lentil
15.18,80.23,23.35,15.89,45.75,6.45,82.69,lentil
27.96,84.91,28.05,23.65,51.16,7.86,63.16,lentil
15.94,67.91,29.64,18.21,46.09,7.82,61.27,lentil
29.23,64.61,15.21,16.78,41.73,7.56,30.5,lentil
38.02,82.2,34.03,17.39,40.03,6.04,87.36,lentil
39.21,60.74,32.83,19.18,48.99,6.65,55.19,lentil
28.51,73.46,24.16,17.51,56.74,7.26,67.85,lentil
26.46,67.17,16.32,18.21,51.45,6.55,77.41,lentil
38.63,56.23,33.87,16.35,59.98,7.82,79.18,lentil
31.84,65.42,38.88,17.96,45.74,7.27,96.92,lentil
16.62,62.96,21.0,20.72,45.61,6.14,67.19,lentil
26.64,75.58,23.09,19.42,43.19,7.82,57.98,lentil
21.01,83.46,19.6,18.47,43.28,7.92,96.76,lentil
26.75,63.04,29.42,22.46,45.7,6.16,74.95,lentil
26.39,79.34,18.87,23.94,55.86,7.06,50.87,lentil
29.55,56.66,23.9,22.57,58.12,6.61,38.85,lentil
23.92,71.14,32.43,18.32,59.5,6.79,88.98,lentil
19.11,57.12,29.0,22.44,44.65,6.36,55.35,lentil
27.59,83.02,24.66,16.52,57.63,7.16,76.23,lentil
35.76,77.99,25.51,16.3,46.57,7.92,62.96,lentil
31.6,74.74,29.05,18.46,42.26,7.01,43.93,lentil
23.46,79.72,15.15,23.08,57.4,6.17,72.12,lentil
38.39,74.43,16.96,17.46,52.72,7.24,34.25,lentil
37.81,84.07,37.03,15.63,43.29,6.68,58.93,lentil
20.23,76.42,16.95,16.32,48.6,7.71,68.26,lentil
15.99,82.74,32.67,23.59,45.75,6.87,60.52,lentil
33.53,70.51,38.0,21.34,54.74,6.39,82.41,lentil
35.69,58.51,21.77,17.53,49.07,6.38,87.95,lentil
39.2,70.85,24.26,20.55,59.79,7.54,83.99,lentil
37.25,58.81,29.22,20.28,41.09,6.53,32.72,lentil
30.01,72.77,37.04,21.55,47.1,7.53,43.59,lentil
28.25,69.47,38.55,17.33,49.64,6.41,67.56,lentil
15.7,73.68,33.49,23.64,50.06,6.64,95.44,lentil
21.17,55.3,17.17,18.09,46.32,6.93,88.45,lentil
26.49,60.85,31.73,21.94,54.58,7.89,88.98,lentil
30.71,69.74,25.26,15.16,57.49,7.86,51.22,lentil
28.93,83.52,26.77,18.73,58.77,6.41,60.06,lentil
33.57,66.51,16.23,18.52,56.1,6.72,62.95,lentil
21.99,67.73,19.78,20.43,57.01,6.3,41.02,lentil
29.12,76.44,34.76,15.73,51.01,7.02,32.17,lentil
17.2,73.11,26.35,22.9,56.52,6.92,96.28,lentil
25.34,63.97,22.54,17.18,46.07,7.8,46.85,lentil
33.75,67.32,24.6,21.77,47.97,7.86,46.8,lentil
32.34,61.53,36.36,23.03,46.34,6.77,35.84,lentil
39.77,83.98,33.72,20.62,49.35,6.98,95.0,lentil
21.95,58.92,21.81,22.41,45.71,7.79,70.58,lentil
27.45,66.16,17.94,21.62,59.23,7.61,76.69,lentil
23.24,55.78,21.3,18.56,46.26,6.01,93.81,lentil
26.02,61.65,38.02,23.09,41.96,6.64,54.19,lentil
36.42,78.41,29.54,17.95,50.54,6.84,73.51,lentil
15.97,35.27,24.23,23.29,60.98,6.42,96.76,pomegranate
19.67,41.04,18.39,26.3,70.36,6.92,62.37,pomegranate
35.78,63.77,27.96,24.75,68.59,5.71,90.62,pomegranate
34.17,53.4,17.82,30.88,66.07,5.72,113.28,pomegranate
23.77,42.85,38.35,22.41,65.45,6.45,72.41,pomegranate
24.42,37.01,19.59,31.14,63.25,7.11,96.92,pomegranate
28.34,35.85,21.32,30.33,70.04,6.21,63.15,pomegranate
15.01,42.34,25.17,24.98,74.56,6.06,93.74,pomegranate
21.03,61.44,24.58,29.89,62.64,6.53,73.55,pomegranate
20.21,47.48,34.87,22.31,68.96,7.08,64.78,pomegranate
21.26,56.61,26.41,31.67,66.36,6.92,71.92,pomegranate
35.15,62.55,19.27,27.27,66.7,7.19,62.52,pomegranate
21.99,47.24,21.68,25.03,63.81,5.54,113.13,pomegranate
19.79,40.74,27.73,25.63,72.38,5.69,77.8,pomegranate
27.61,50.51,18.69,22.66,67.28,6.54,67.17,pomegranate
36.64,62.24,30.29,31.89,68.15,6.89,81.39,pomegranate
21.03,59.13,29.14,22.39,64.57,5.98,72.44,pomegranate
16.96,36.97,32.87,28.55,62.73,5.91,102.11,pomegranate
23.91,55.78,38.44,26.43,61.29,6.84,117.99,pomegranate
33.69,52.16,37.81,31.49,70.71,5.6,80.66,pomegranate
28.77,62.22,38.65,24.46,62.94,6.13,110.27,pomegranate
35.42,38.67,21.12,27.32,70.35,6.36,89.61,pomegranate
38.99,51.02,18.29,26.82,65.86,6.45,61.01,pomegranate
34.82,61.38,22.56,29.03,66.24,6.74,98.34,pomegranate
30.1,47.3,37.38,22.68,67.04,6.1,85.94,pomegranate
27.33,49.46,39.3,23.94,65.52,6.54,95.54,pomegranate
16.0,37.11,36.48,24.15,61.51,6.5,112.28,pomegranate
39.61,43.34,17.75,29.38,64.64,6.43,80.83,pomegranate
24.59,44.74,38.69,23.89,69.96,6.59,113.08,pomegranate
18.81,63.35,25.58,27.73,69.99,5.94,102.55,pomegranate
31.67,43.48,15.23,24.15,64.29,5.64,84.2,pomegranate
22.11,48.83,26.06,30.62,66.9,5.7,92.23,pomegranate
29.64,55.14,16.15,31.42,62.9,5.88,72.79,pomegranate
29.67,39.87,28.6,27.18,63.16,6.35,118.85,pomegranate
26.14,49.59,23.46,25.52,60.35,6.93,96.71,pomegranate
35.9,57.16,26.84,24.34,73.45,6.69,53.07,pomegranate
21.62,61.01,30.33,22.5,63.16,6.84,72.86,pomegranate
26.22,53.79,36.72,24.69,63.41,6.1,93.63,pomegranate
28.44,55.07,31.55,28.54,64.19,6.19,53.94,pomegranate
31.59,38.79,25.85,27.34,61.91,6.17,51.67,pomegranate
34.6,63.37,35.49,31.44,69.59,5.83,81.5,pomegranate
24.87,38.98,37.64,25.96,61.13,5.6,73.29,pomegranate
31.15,58.24,17.99,28.94,62.01,6.5,80.68,pomegranate
18.77,42.94,28.3,26.89,69.67,7.18,68.39,pomegranate
38.32,63.01,22.11,27.13,65.09,5.78,61.53,pomegranate
24.58,56.6,16.18,24.68,70.62,5.58,98.24,pomegranate
33.24,57.61,31.71,26.55,68.36,6.83,86.02,pomegranate
15.51,41.57,36.57,26.71,63.84,5.93,64.01,pomegranate
20.13,48.29,19.07,29.07,69.76,6.91,72.37,pomegranate
27.18,53.53,35.31,31.41,61.74,6.7,91.43,pomegranate
36.96,58.1,36.33,25.29,68.05,7.11,55.06,pomegranate
28.18,38.12,37.86,22.42,66.56,6.2,60.32,pomegranate
38.25,63.87,21.63,26.96,64.02,6.63,55.13,pomegranate
27.09,61.71,37.6,27.44,69.06,6.29,106.86,pomegranate
27.26,43.11,23.02,23.68,73.07,6.57,102.67,pomegranate
17.99,59.68,28.81,29.6,74.98,6.26,102.73,pomegranate
35.07,50.55,16.26,31.85,69.12,5.82,100.14,pomegranate
21.17,48.85,16.1,31.46,66.07,6.36,96.86,pomegranate
37.49,44.43,33.01,23.97,63.38,6.4,83.39,pomegranate
37.77,52.43,26.11,30.75,63.86,6.88,94.96,pomegranate
38.58,56.9,21.41,29.04,67.19,6.75,52.69,pomegranate
28.01,47.33,19.76,26.54,65.51,6.63,93.5,pomegranate
31.93,53.88,31.75,27.41,73.71,5.69,104.45,pomegranate
34.46,55.98,15.01,30.5,65.52,6.73,85.03,pomegranate
18.28,56.33,35.15,26.8,65.6,6.35,75.03,pomegranate
30.02,36.56,16.98,25.73,65.75,7.02,69.42,pomegranate
15.86,60.79,19.79,26.93,72.55,7.06,95.0,pomegranate
27.44,48.75,24.66,27.79,69.76,5.59,98.5,pomegranate
18.87,42.87,27.12,23.89,69.21,6.9,110.97,pomegranate
19.57,42.25,23.87,31.01,65.01,5.56,73.96,pomegranate
24.13,49.49,23.02,28.74,72.27,6.12,103.88,pomegranate
25.81,61.6,39.1,28.33,60.58,6.42,89.29,pomegranate
30.58,46.35,31.04,22.99,73.06,5.75,111.8,pomegranate
16.86,57.49,15.59,28.04,67.69,6.77,86.95,pomegranate
27.59,37.9,25.75,23.21,65.97,5.51,86.23,pomegranate
19.57,49.28,36.88,22.79,67.46,5.79,90.45,pomegranate
29.35,64.75,22.54,27.27,70.01,6.49,102.45,pomegranate
30.94,58.11,17.36,26.03,60.19,6.71,117.53,pomegranate
28.92,41.32,33.96,27.89,73.07,7.06,55.15,pomegranate
33.46,50.04,30.15,22.89,66.7,6.7,53.74,pomegranate
23.39,42.01,29.26,26.31,65.14,6.64,115.63,pomegranate
34.13,47.29,16.34,23.75,62.07,6.17,87.09,pomegranate
25.82,58.4,18.51,31.87,66.59,5.5,93.04,pomegranate
27.1,58.14,30.56,27.61,67.44,5.7,83.77,pomegranate
31.2,41.84,20.2,28.87,66.05,6.41,56.56,pomegranate
15.46,62.67,27.6,25.25,70.18,6.65,103.77,pomegranate
31.35,52.78,28.62,22.95,66.31,6.21,102.31,pomegranate
30.46,46.4,22.09,31.76,74.42,6.74,71.82,pomegranate
22.75,50.06,38.71,24.86,68.99,6.39,71.44,pomegranate
17.14,53.15,36.06,26.24,72.11,5.63,108.65,pomegranate
17.27,51.8,33.06,28.5,61.64,5.83,55.07,pomegranate
38.08,49.59,16.95,22.25,65.96,6.93,111.68,pomegranate
32.23,50.15,17.65,30.1,65.05,6.73,67.97,pomegranate
18.18,40.29,27.32,27.37,68.54,7.02,91.51,pomegranate
23.92,59.38,19.02,24.78,72.92,5.7,115.52,pomegranate
29.81,51.25,39.46,22.62,61.18,7.18,97.47,pomegranate
35.89,38.93,18.96,23.62,61.09,5.86,79.01,pomegranate
16.09,57.98,27.19,30.95,72.75,5.52,98.27,pomegranate
20.92,62.97,24.1,28.86,63.19,7.2,74.08,pomegranate
37.24,63.42,30.98,24.5,70.03,5.98,69.41,pomegranate
119.87,61.13,67.31,32.2,86.32,5.79,218.24,banana
110.03,63.69,56.63,31.87,89.77,6.11,138.86,banana
105.79,89.59,58.07,25.96,77.78,6.91,206.3,banana
94.21,69.46,74.09,34.23,70.95,6.07,132.23,banana
81.97,63.46,51.32,30.68,86.02,6.5,106.05,banana
81.24,63.21,79.76,28.64,82.09,5.88,130.17,banana
102.17,81.58,53.91,32.57,73.97,5.69,126.79,banana
110.48,85.64,73.88,27.57,79.9,5.59,150.66,banana
101.5,67.71,61.84,31.94,84.85,5.96,162.77,banana
113.63,60.63,64.77,25.4,85.41,5.74,176.28,banana
81.34,66.69,76.42,33.39,79.99,5.76,171.51,banana
94.67,61.7,62.39,29.48,76.1,6.64,140.6,banana
89.48,63.1,66.12,31.37,89.47,5.52,104.38,banana
97.89,72.95,51.48,27.21,83.27,6.34,190.77,banana
82.9,66.9,50.07,31.77,78.16,6.07,159.36,banana
118.17,75.48,57.34,32.72,75.61,6.26,144.8,banana
88.93,67.6,70.42,29.73,84.62,6.34,230.04,banana
116.89,88.22,53.64,31.18,74.84,5.97,212.01,banana
97.04,87.18,53.41,29.56,73.43,5.94,228.66,banana
119.42,77.0,62.33,33.94,80.6,6.6,174.25,banana
102.16,70.63,69.44,29.98,75.8,6.81,119.64,banana
117.23,71.43,71.36,33.42,82.58,5.79,204.43,banana
80.21,72.36,55.35,33.01,72.36,5.65,130.91,banana
109.93,81.83,52.39,29.11,83.1,6.85,166.18,banana
116.12,73.55,78.21,27.3,75.67,6.02,109.75,banana
85.59,85.7,57.82,29.06,70.0,6.33,223.8,banana
83.85,88.32,75.6,33.26,72.54,6.04,118.89,banana
96.98,70.08,75.9,27.28,88.67,5.69,235.46,banana
117.35,76.82,73.18,30.24,87.35,6.38,229.63,banana
101.7,62.85,55.07,33.06,74.67,6.29,169.69,banana
101.1,66.01,74.65,28.53,85.57,5.8,211.66,banana
85.65,72.4,73.08,31.42,82.17,6.18,192.92,banana
80.03,66.19,67.9,27.46,89.42,6.7,220.46,banana
112.41,86.3,60.12,26.09,77.47,6.39,164.77,banana
83.5,64.75,57.88,32.94,83.63,5.65,217.87,banana
105.35,73.67,53.66,25.99,71.27,6.32,169.37,banana
116.58,78.17,65.29,27.71,77.92,6.55,241.14,banana
88.35,80.76,67.56,33.55,89.28,6.69,172.96,banana
106.61,71.49,60.78,28.46,80.78,6.44,169.39,banana
83.15,86.07,64.26,34.73,75.76,5.73,217.76,banana
104.15,77.05,60.91,34.8,72.41,6.57,223.24,banana
86.56,73.19,69.23,27.68,84.07,6.52,183.17,banana
109.44,62.02,77.04,25.41,82.9,5.54,126.97,banana
92.05,73.94,54.92,32.05,77.48,6.12,170.16,banana
98.54,84.62,61.44,29.51,89.02,6.0,245.21,banana
103.98,78.44,54.23,26.01,70.44,6.5,212.95,banana
86.85,84.96,68.75,32.08,76.07,5.82,221.67,banana
109.67,74.82,71.87,25.31,88.42,6.39,104.92,banana
92.11,63.55,77.96,33.7,76.42,6.87,170.18,banana
106.49,60.41,58.37,26.39,75.05,6.7,196.99,banana
86.33,69.1,78.51,26.27,80.68,6.88,224.5,banana
107.52,80.94,51.9,26.76,86.48,6.97,107.39,banana
85.13,83.71,68.09,34.6,72.06,5.52,227.87,banana
97.01,68.87,51.71,31.93,88.86,6.43,182.26,banana
89.89,74.87,76.81,33.01,85.9,6.12,129.6,banana
109.94,72.63,65.89,28.98,73.63,6.79,147.59,banana
90.48,72.32,70.08,28.36,84.24,5.88,142.29,banana
115.27,66.94,74.95,27.34,77.7,6.97,179.63,banana
115.67,64.09,54.51,29.81,78.05,6.42,107.75,banana
87.86,65.9,51.16,30.52,85.67,6.69,123.78,banana
104.55,61.66,76.37,31.32,89.26,5.63,221.9,banana
83.51,65.94,59.45,27.57,72.53,5.78,119.89,banana
95.66,60.28,53.87,34.49,78.41,6.64,135.01,banana
108.53,78.82,64.05,26.7,79.62,5.53,168.01,banana
106.38,69.49,67.95,34.66,77.53,6.73,177.57,banana
104.99,89.19,50.93,25.15,77.26,5.52,214.54,banana
91.3,65.81,58.25,29.81,71.05,6.49,167.1,banana
95.12,70.37,50.98,28.33,83.71,6.05,218.48,banana
84.12,70.74,62.61,29.49,78.72,6.42,192.75,banana
108.76,60.25,76.85,30.71,73.9,6.54,116.96,banana
100.16,85.18,79.48,29.36,86.32,6.01,123.45,banana
108.35,60.96,69.11,29.15,86.05,5.66,165.56,banana
89.96,88.21,54.85,32.33,79.73,5.6,159.53,banana
92.98,86.76,77.18,31.86,75.97,6.38,211.53,banana
93.37,76.07,65.49,33.33,82.76,6.28,187.11,banana
81.03,76.31,54.61,27.5,75.76,6.61,158.22,banana
93.64,79.61,77.65,31.1,74.72,6.26,125.61,banana
112.13,71.61,72.72,30.85,84.61,6.13,134.03,banana
115.89,79.42,71.95,28.7,70.81,6.1,186.33,banana
100.73,61.34,71.28,29.86,71.9,5.54,163.52,banana
98.22,61.62,56.01,28.14,70.14,6.0,177.24,banana
81.23,73.72,56.33,26.42,73.06,6.96,125.6,banana
115.17,76.49,70.65,27.14,71.38,6.81,199.44,banana
80.52,86.63,56.59,26.06,89.92,5.99,227.88,banana
117.79,63.14,63.16,31.83,75.78,6.38,138.69,banana
99.57,84.68,73.46,31.61,72.99,6.77,173.73,banana
93.68,66.3,73.52,34.51,74.82,6.16,246.33,banana
116.97,71.82,63.6,32.3,88.72,5.53,149.99,banana
80.98,69.5,73.77,25.52,80.4,5.61,189.26,banana
103.26,72.0,75.16,33.84,77.3,6.27,113.53,banana
101.96,64.51,69.64,33.63,87.47,6.95,190.9,banana
88.77,75.11,56.85,29.43,77.9,6.54,113.44,banana
97.16,84.05,58.22,30.86,76.7,5.61,243.89,banana
106.09,73.25,59.45,34.76,74.15,5.78,207.35,banana
109.09,74.72,53.5,30.32,77.56,6.66,218.22,banana
80.03,85.46,58.19,34.05,76.33,6.76,205.62,banana
117.47,81.18,56.29,25.83,83.55,6.43,188.46,banana
86.58,74.71,63.66,26.91,75.79,6.47,167.49,banana
89.34,67.73,77.25,29.41,81.54,5.54,228.76,banana
90.54,86.55,53.13,30.85,71.32,6.74,243.53,banana
27.48,25.61,25.46,37.06,60.27,6.23,141.36,mango
38.29,22.73,32.85,35.77,50.17,7.33,102.54,mango
29.58,22.02,36.53,29.2,54.62,7.06,122.49,mango
28.46,39.31,18.87,28.08,64.84,7.01,93.6,mango
26.36,18.83,26.29,28.41,58.73,6.71,113.0,mango
20.23,33.33,25.2,31.56,61.83,6.75,84.06,mango
15.09,15.01,32.19,34.67,53.3,6.78,80.12,mango
21.04,29.9,21.25,31.54,60.36,6.76,107.82,mango
27.74,37.9,31.01,25.88,45.81,6.61,99.81,mango
24.5,22.2,36.94,34.41,47.46,7.47,107.95,mango
26.21,19.64,25.45,35.48,49.06,6.96,78.67,mango
39.52,31.29,37.78,28.76,53.04,7.05,86.7,mango
23.76,32.82,39.83,33.63,61.91,7.24,58.39,mango
26.3,32.2,17.65,30.55,51.93,5.93,55.23,mango
18.34,22.98,20.83,36.56,58.09,5.67,75.35,mango
16.2,21.31,38.76,35.99,59.19,6.47,57.42,mango
34.39,38.9,38.96,31.83,56.72,6.53,60.38,mango
29.27,38.08,17.44,33.99,52.14,7.16,131.29,mango
34.02,26.43,15.37,36.48,56.54,6.39,53.89,mango
18.75,36.15,19.03,31.44,51.85,6.64,115.89,mango
29.3,26.31,39.9,29.07,46.68,6.55,77.26,mango
21.34,25.61,19.5,34.8,64.86,5.58,137.15,mango
20.7,18.92,27.56,27.86,47.54,6.73,98.5,mango
15.29,25.66,36.21,30.05,46.45,7.16,80.56,mango
18.26,28.44,15.51,36.25,62.57,5.82,101.76,mango
22.73,15.56,30.11,34.42,51.04,6.69,88.2,mango
17.92,26.1,21.93,30.25,58.01,6.69,106.43,mango
39.65,34.53,36.56,27.79,51.58,5.83,61.45,mango
22.72,32.0,22.09,29.63,52.83,5.75,149.7,mango
18.26,30.88,32.17,28.69,50.24,7.46,92.56,mango
19.98,37.74,31.86,27.29,51.86,6.29,84.82,mango
29.69,15.45,20.54,34.66,53.21,5.95,121.02,mango
16.6,28.93,15.87,28.28,59.41,5.84,86.39,mango
36.56,34.68,25.23,30.9,55.23,6.84,133.33,mango
39.04,28.53,22.23,30.02,63.87,6.72,95.43,mango
21.17,23.1,35.22,37.77,45.84,6.79,121.96,mango
26.25,18.41,35.01,30.08,55.06,5.68,60.75,mango
15.55,37.19,26.43,26.04,56.68,7.29,134.61,mango
31.02,26.77,30.16,26.17,63.4,6.28,123.57,mango
25.35,36.95,30.11,32.68,45.98,6.13,71.17,mango
21.75,29.65,35.68,32.79,56.47,6.42,64.53,mango
20.17,31.85,25.63,30.44,62.07,6.28,81.63,mango
31.35,35.11,21.89,30.61,49.84,7.23,147.61,mango
25.41,31.48,21.63,25.7,62.53,7.36,75.68,mango
19.49,24.95,28.4,31.72,45.38,6.11,95.61,mango
32.23,27.84,26.23,31.56,59.65,7.23,53.0,mango
29.13,35.08,26.0,26.94,63.66,7.06,89.72,mango
36.47,24.34,17.28,26.35,58.14,7.36,107.13,mango
17.94,24.7,32.97,26.61,53.78,5.99,145.31,mango
34.64,17.39,20.34,26.31,45.9,6.65,101.67,mango
31.84,37.86,19.92,32.93,63.4,6.05,131.91,mango
17.88,17.28,25.32,27.55,54.41,7.15,104.71,mango
32.37,31.21,20.69,28.27,45.58,5.51,54.08,mango
26.04,25.33,29.6,27.26,58.8,6.63,81.5,mango
38.62,25.14,24.29,37.45,54.64,6.18,107.55,mango
18.54,31.99,26.22,36.11,47.49,6.15,145.06,mango
31.07,16.68,28.43,28.0,49.29,6.79,135.91,mango
24.55,29.84,20.09,29.26,46.29,7.2,72.84,mango
38.92,34.3,18.89,27.73,56.49,6.72,72.01,mango
23.25,35.71,37.01,31.39,57.44,7.21,70.12,mango
39.05,19.26,25.84,25.25,55.11,6.03,142.25,mango
37.54,37.44,25.3,33.73,61.34,6.54,135.27,mango
21.76,31.4,15.89,31.8,62.22,6.4,127.49,mango
35.09,37.05,27.45,36.68,57.31,5.52,89.27,mango
39.89,27.13,28.85,27.14,45.26,6.61,100.44,mango
21.32,28.55,28.97,35.45,58.9,6.82,96.43,mango
25.92,37.98,32.68,35.3,53.36,6.68,75.34,mango
28.0,37.5,19.44,26.65,56.31,6.97,100.5,mango
22.37,26.2,21.31,30.18,57.98,6.64,53.05,mango
15.38,21.86,35.27,27.21,52.0,5.63,63.18,mango
20.5,24.83,38.68,28.31,63.34,5.73,138.66,mango
22.05,24.69,18.4,28.42,47.68,6.69,125.17,mango
26.09,22.17,27.44,32.23,58.43,6.05,92.29,mango
19.28,21.71,20.35,30.35,45.09,5.66,101.72,mango
36.83,36.53,16.5,37.32,63.49,6.36,87.0,mango
32.62,16.75,23.14,26.64,47.25,6.61,124.08,mango
